Wahlkreisnummer;Wahlkreisname;AGS;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;gemeldete Wahlbezirke;Anzahl Wahlbezirke;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Erststimmen ungueltige (C);Erststimmen gueltige (D);D1;D2;D3;D4;D5;D6;D7;D8;D9;D11;D12;D13;D16;D17;D20;D21;D22;Zweitstimmen ungueltige (E);Zweitstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;
11;11 - Geislingen;;;11;WAHLKREIS;11 - Geislingen;;128;128;;;N;89391;64692;24698;1;63054;39757;23297;678;62376;10925;25524;7532;2724;13346;2009;;;;;;;;;;316;;381;62673;15662;21728;3697;2513;13628;1627;1173;225;244;14;78;234;86;22;38;762;115;113;33;478;203;
12;12 - Ludwigsburg;;;12;WAHLKREIS;12 - Ludwigsburg;;170;170;;;N;123266;90978;32272;16;86245;55943;30302;633;85612;25079;28105;6412;4071;14004;5581;;;742;438;1180;;;;;;;403;85842;29103;23771;4822;4042;14071;4445;1376;329;316;40;171;710;129;39;50;1304;207;139;47;597;134;
13;13 - Vaihingen;;;13;WAHLKREIS;13 - Vaihingen;;166;166;;;N;115702;82017;33684;1;85556;53823;31733;737;84819;23467;31016;6282;5614;14285;3700;;;;;;;;;;455;;409;85147;26850;26776;4364;4594;14141;2642;1774;329;291;36;184;638;214;34;51;925;140;133;58;695;278;
14;14 - Bietigheim-Bissingen;;;14;WAHLKREIS;14 - Bietigheim-Bissingen;;174;174;;;N;126659;91960;34698;1;92263;59370;32893;797;91466;24690;34336;6639;3478;16509;4072;;;;676;1066;;;;;;;501;91762;27758;28909;4943;3906;16609;3369;1854;356;330;43;182;701;202;38;62;1161;142;178;52;788;179;
15;15 - Waiblingen;;;15;WAHLKREIS;15 - Waiblingen;;142;142;;;N;106277;76931;29346;0;74314;46814;27500;596;73718;20722;25775;5857;4768;12221;2931;;;;510;934;;;;;;;410;73904;24026;22340;4038;4076;12110;2692;1259;272;271;31;137;515;164;21;32;866;102;132;41;622;157;
16;16 - Schorndorf;;;16;WAHLKREIS;16 - Schorndorf;;140;140;;;N;95999;71068;24931;0;71361;47759;23602;538;70823;16928;24152;5632;5704;12264;2801;1944;;569;;829;;;;;;;458;70903;21879;21579;3527;4487;12737;2328;1185;259;311;19;105;480;181;23;53;833;54;102;33;601;127;
17;17 - Backnang;;;17;WAHLKREIS;17 - Backnang;;128;128;;;N;93975;70452;23523;0;67262;45264;21998;613;66649;14782;23006;5144;2616;16671;2595;;;;;648;;;;;;1187;405;66857;17505;19718;3286;3042;16400;2297;1112;335;277;33;138;403;225;22;37;987;77;114;66;614;169;
18;18 - Heilbronn;;;18;WAHLKREIS;18 - Heilbronn;;143;143;;;N;99537;77548;21956;33;63006;42500;20506;543;62463;13441;19088;5413;5030;13876;2925;;;;266;794;;1330;300;;;;429;62577;17025;16822;4060;3495;13872;2780;880;280;252;33;119;515;86;33;37;1244;191;114;38;565;136;
19;19 - Eppingen;;;19;WAHLKREIS;19 - Eppingen;;144;144;;;N;108321;80504;27817;0;76696;50503;26193;698;75998;14675;26814;5442;5070;19493;2826;;;;1086;;;;;;329;263;492;76204;18027;22734;4132;3986;19357;2182;1540;357;389;36;336;532;236;35;53;1016;102;169;52;718;215;
20;20 - Neckarsulm;;;20;WAHLKREIS;20 - Neckarsulm;;156;156;;;N;114464;87849;26615;0;79241;54302;24939;655;78586;13919;27065;7416;2801;19288;2796;2544;;;481;965;;1311;;;;;517;78724;19192;23242;4799;3257;19528;2481;1922;373;334;38;197;603;162;27;69;1329;151;155;55;653;157;
